"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Wildackers";"BU07850608";"990";"270";"720";"850";"140";"0.9";"1999";"90";"115"
"Wijk 07 't Ven";"WK078507";"830";"270";"555";"685";"145";"1.3";"1866";"70";"80"
"'t Ven";"BU07850709";"470";"180";"290";"385";"85";"1.4";"1823";"25";"40"
"Burgemeesters";"BU07850710";"360";"90";"265";"300";"60";"1.2";"1926";"45";"40"
"Wijk 08 De Boschkens";"WK078508";"610";"255";"355";"500";"110";"1.1";"469";"40";"30"
"Tilburgseweg";"BU07850811";"145";"55";"85";"115";"30";"0.9";"275";"10";"10"
"De Boschkens-West";"BU07850812";"40";"15";"30";"35";"5";".";".";"5";"5"
"De Boschkens-Oost";"BU07850813";"425";"185";"240";"355";"70";"1.2";"1156";"25";"20"
"Wijk 09 De Hellen";"WK078509";"2095";"640";"1455";"1775";"315";"1.2";"2522";"75";"165"
"Vennen";"BU07850914";"475";"155";"320";"410";"65";"1.2";"2385";"15";"40"
"Bomen";"BU07850915";"535";"170";"360";"445";"90";"1.2";"3337";"30";"45"
"De Villa";"BU07850916";"100";"45";"55";"80";"15";"1.2";"837";"5";"5"
"Rivieren";"BU07850917";"485";"135";"345";"410";"75";"1.3";"3234";"5";"25"
"Kruiden";"BU07850918";"505";"130";"370";"430";"75";"1.2";"2461";"20";"50"
"Wijk 10 De Nieuwe Erven";"WK078510";"380";"145";"235";"315";"65";"1.4";"2977";"15";"30"
"De Nieuwe Erven";"BU07851019";"380";"145";"235";"315";"65";"1.4";"2977";"15";"30"
"Wijk 11 Hoogeind";"WK078511";"895";"225";"675";"790";"105";"0.9";"2432";"55";"90"
"Hoogeind";"BU07851120";"85";"30";"55";"75";"10";"1.0";"1394";"0";"5"
"Geestelijken";"BU07851121";"390";"100";"290";"340";"50";"1.1";"2973";"30";"45"
"Herstallen";"BU07851122";"420";"90";"330";"370";"50";"0.7";"2393";"25";"35"
"Wijk 12 Sportpark Van den Wildenberg";"WK078512";"0";"0";"0";"0";"0";".";".";"0";"0"
"Sportpark Van den Wildenberg";"BU07851223";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 13 Bedrijventerrein Tijvoort";"WK078513";"215";"75";"140";"150";"70";"2.4";"277";"240";"35"
"Tijlvoort-Noort";"BU07851324";"95";"25";"70";"70";"25";"1.9";"237";"110";"25"
"Tijlvoort-Zuid";"BU07851325";"120";"50";"70";"75";"45";".";".";"130";"10"
"Wijk 14 Verspreide huizen Goirle";"WK078514";"120";"35";"85";"80";"40";"1.5";"6";"70";"20"
"Verspreide huizen Goirle";"BU07851426";"120";"35";"85";"80";"40";"1.5";"6";"70";"20"
"Wijk 20 Riel";"WK078520";"1255";"385";"870";"1055";"200";"1.3";"727";"90";"130"
"Riel-Dorp";"BU07852027";"1155";"370";"785";"975";"185";"1.3";"1429";"75";"120"
"Spaansehoek";"BU07852028";"100";"15";"80";"80";"15";"1.2";"107";"15";"10"
"Wijk 21 Bedrijventerrein Riel";"WK078521";"60";"30";"30";"35";"25";".";".";"30";"5"
"Bedrijventerrein Riel";"BU07852129";"60";"30";"30";"35";"25";".";".";"30";"5"
"Wijk 22 Sportpark De Krim";"WK078522";"0";"0";"0";"0";"0";".";".";"0";"0"
"Sportpark De Krim";"BU07852230";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 23 Verspriede huizen Riel";"WK078523";"115";"20";"95";"85";"30";"1.6";"8";"45";"15"
"Verspreide huizen Riel";"BU07852331";"115";"20";"95";"85";"30";"1.6";"8";"45";"15"
"Grave";"GM0786";"6445";"1630";"4815";"5005";"1440";"1.2";"237";"585";"625"
"Wijk 00 Grave";"WK078600";"4450";"1120";"3330";"3510";"940";"1.2";"1534";"275";"405"
"Binnenstad-Grave";"BU07860000";"715";"200";"520";"570";"145";"0.9";"1538";"60";"50"
"Mars";"BU07860001";"410";"90";"315";"325";"85";"1.3";"2134";"25";"35"
"Bikkelkamp";"BU07860002";"475";"100";"375";"380";"95";"1.1";"1333";"35";"45"
"Esterveld";"BU07860003";"1625";"340";"1285";"1290";"335";"1.3";"1943";"90";"160"
"Zittert";"BU07860004";"715";"175";"540";"540";"175";"1.2";"2547";"40";"65"
"De Stoof";"BU07860005";"460";"200";"260";"365";"95";"1.4";"1145";"15";"50"
"Industrieterrein Wisseveld";"BU07860006";"50";"15";"35";"45";"5";"0.7";"135";"5";"0"
"Wijk 01 Escharen";"WK078601";"665";"160";"505";"515";"155";"1.6";"79";"105";"90"
"Escharen kom";"BU07860100";"455";"115";"340";"365";"90";"1.5";"1745";"45";"65"
"Buitengebied West inclusief Raam";"BU07860101";"100";"20";"85";"70";"30";"1.7";"27";"40";"10"
"Buitengebied-Oost";"BU07860102";"110";"25";"85";"80";"30";"1.8";"25";"20";"15"
"Wijk 02 Velp";"WK078602";"620";"165";"460";"455";"165";"1.4";"67";"80";"60"
"Oud Velp";"BU07860200";"180";"55";"125";"135";"45";"1.5";"1134";"15";"20"
"Nieuw Veld";"BU07860201";"205";"55";"150";"170";"40";"1.2";"768";"10";"25"
"Buitengebied-Noord inclusief rijksweg";"BU07860202";"95";"20";"80";"65";"35";"1.4";"17";"20";"5"
"Buitengebied Zuid";"BU07860203";"140";"35";"100";"85";"50";"2.0";"44";"35";"10"
"Industrieterrein De Eek";"BU07860204";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 03 Gassel";"WK078603";"705";"185";"515";"525";"180";"1.5";"107";"125";"75"
"Gassel kom";"BU07860300";"490";"130";"365";"370";"120";"1.4";"1438";"65";"45"
"Buitengebied Gassel";"BU07860301";"210";"60";"155";"155";"60";"1.6";"34";"60";"30"
"Haaren";"GM0788";"7305";"1960";"5345";"5740";"1565";"1.4";"127";"1485";"660"
"Wijk 01 Haaren";"WK078801";"2960";"850";"2110";"2375";"585";"1.3";"166";"620";"315"
"Haaren";"BU07880100";"1915";"565";"1350";"1595";"320";"1.2";"908";"140";"195"
"'t Eind";"BU07880101";"280";"90";"190";"230";"50";"1.5";"453";"45";"50"
"Verspreide huizen in het Westen";"BU07880108";"195";"40";"155";"130";"65";"1.1";"34";"290";"25"
"Verspreide huizen in het Oosten";"BU07880109";"360";"100";"260";"260";"100";"1.9";"44";"100";"25"
"Noenes";"BU07880110";"210";"55";"155";"155";"55";"1.3";"194";"40";"20"
"Wijk 02 Helvoirt";"WK078802";"2535";"660";"1875";"1970";"570";"1.4";"100";"495";"185"
"Helvoirt";"BU07880200";"1935";"495";"1435";"1535";"400";"1.3";"826";"255";"150"
"Distelberg";"BU07880201";"255";"85";"170";"185";"70";"1.8";"141";"155";"20"
"Verspreide huizen Helvoirtse Heide";"BU07880207";"90";"20";"70";"65";"25";"1.2";"7";"15";"5"
"Verspreide huizen Brokkenbroek en Laar";"BU07880208";"65";"20";"45";"40";"25";".";".";"25";"0"
"Verspr.h. Gijzel, Raam en Molenstraat";"BU07880209";"195";"40";"155";"145";"50";"1.8";"36";"45";"10"
"Wijk 03 Esch";"WK078803";"1140";"280";"860";"885";"250";"1.3";"194";"170";"75"
"Esch";"BU07880300";"915";"235";"680";"735";"180";"1.3";"1014";"130";"60"
"Verspreide huizen Esch";"BU07880309";"225";"45";"180";"150";"70";"1.5";"45";"40";"15"
"Wijk 04 Biezenmortel";"WK078804";"660";"165";"495";"505";"155";"1.6";"77";"160";"85"
"Biezenmortel";"BU07880400";"380";"105";"275";"305";"75";"1.4";"547";"45";"55"
"Huize Assisië";"BU07880401";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspreide huizen Biezenmortel";"BU07880409";"280";"60";"220";"200";"80";"1.8";"38";"115";"30"
"Helmond";"GM0794";"40580";"11430";"29150";"33720";"6860";"1.0";"763";"4240";"2905"
"Wijk 10 Binnenstad";"WK079410";"5515";"1190";"4330";"4620";"895";"0.7";"1918";"490";"325"
"Centrum";"BU07941000";"705";"175";"530";"625";"80";"0.5";"1419";"50";"30"
"Leonardus";"BU07941002";"810";"95";"715";"710";"100";"0.7";"2381";"65";"35"
"Heipoort";"BU07941003";"1160";"155";"1005";"960";"200";"0.8";"3001";"100";"85"
"Stationsgebied";"BU07941004";"385";"135";"250";"305";"80";"0.8";"1567";"25";"20"
"Vossenberg";"BU07941005";"1205";"230";"975";"990";"215";"0.8";"2584";"90";"60"
"Annabuurt en Suytkade";"BU07941006";"655";"205";"450";"545";"105";"0.8";"1138";"120";"70"
"Steenweg en omgeving";"BU07941007";"600";"195";"400";"485";"115";"1.0";"1634";"40";"25"
"Wijk 11 Helmond-Oost";"WK079411";"3055";"575";"2485";"2670";"390";"0.8";"2037";"210";"210"
"Beisterveld";"BU07941100";"960";"165";"795";"825";"135";"0.8";"2105";"75";"85"
"Beisterveldse Broek";"BU07941101";"905";"170";"735";"795";"105";"0.7";"2480";"65";"40"
"Straakven";"BU07941102";"1190";"240";"955";"1045";"145";"0.9";"1754";"70";"80"
"Wijk 12 Helmond-Noord";"WK079412";"4820";"1005";"3815";"4185";"635";"0.9";"1589";"285";"290"
"Bloemvelden";"BU07941200";"1450";"230";"1225";"1240";"215";"0.8";"2558";"110";"75"
"Binderen";"BU07941201";"1690";"415";"1275";"1505";"180";"0.9";"1414";"85";"100"
"Eeuwsels";"BU07941202";"1680";"365";"1315";"1445";"235";"1.0";"1320";"85";"115"
"Wijk 13 't Hout";"WK079413";"5030";"1395";"3640";"4265";"765";"1.1";"1036";"530";"420"
"'t Hout-Centrum";"BU07941300";"1545";"430";"1115";"1320";"225";"1.0";"1929";"220";"130"
"Kroon";"BU07941301";"1125";"300";"825";"960";"170";"1.1";"1139";"105";"95"
"Akkers";"BU07941302";"1680";"480";"1200";"1425";"255";"1.2";"1593";"150";"140"
"Gansenwinkel";"BU07941303";"655";"170";"480";"550";"105";"1.1";"2065";"35";"50"
"Groot Goor";"BU07941309";"25";"5";"20";"15";"10";".";".";"20";"5"
"Wijk 14 Brouwhuis";"WK079414";"4160";"1080";"3080";"3455";"700";"1.0";"1073";"365";"355"
"Brouwhuis-Dorp";"BU07941400";"1680";"495";"1185";"1390";"290";"1.2";"2361";"155";"175"
"Brouwhuis-West";"BU07941401";"1195";"245";"955";"1015";"185";"1.0";"2048";"65";"90"
"Brouwhuis-Oost";"BU07941402";"1110";"285";"825";"915";"195";"1.0";"1820";"85";"75"
"Brouwhorst";"BU07941404";"100";"40";"60";"80";"20";"0.6";"201";"35";"5"
"Kloostereind";"BU07941409";"75";"15";"55";"55";"15";".";".";"25";"5"
"Wijk 15 Helmond-West";"WK079415";"1890";"365";"1520";"1605";"285";"0.9";"1550";"240";"140"
"West";"BU07941500";"1485";"280";"1205";"1265";"220";"0.9";"2297";"105";"95"
"Houtsdonk";"BU07941501";"405";"90";"315";"340";"60";"1.0";"705";"140";"45"
"Wijk 16 Warande";"WK079416";"1540";"505";"1035";"1280";"260";"1.3";"450";"85";"75"
"Oranjebuurt";"BU07941600";"670";"215";"455";"560";"110";"1.2";"1204";"45";"35"
"Zwanenbeemd";"BU07941601";"815";"280";"535";"675";"140";"1.4";"1116";"35";"40"
"Overbrug";"BU07941609";"55";"10";"45";"45";"10";".";".";"5";"5"
"Wijk 17 Stiphout";"WK079417";"3075";"1075";"2000";"2495";"585";"1.4";"278";"375";"230"
"Stiphout-Dorp";"BU07941700";"2845";"985";"1860";"2340";"505";"1.4";"1260";"285";"220"
"Schooten";"BU07941701";"160";"75";"85";"105";"60";"1.8";"152";"75";"5"
"Geeneind";"BU07941709";"65";"15";"50";"45";"20";"1.0";"9";"15";"0"
"Wijk 18 Rijpelberg";"WK079418";"3825";"895";"2930";"3180";"645";"1.1";"808";"230";"340"
"Rijpelberg-Oost";"BU07941801";"1575";"370";"1205";"1280";"295";"1.1";"2675";"90";"125"
"Rijpelberg-West";"BU07941802";"2230";"520";"1710";"1885";"345";"1.1";"2577";"130";"215"
"Berkendonk";"BU07941809";"20";"10";"10";"15";"5";".";".";"10";"0"
"Wijk 19 Dierdonk";"WK079419";"2500";"1010";"1490";"2035";"465";"1.4";"619";"150";"230"
"Kern Dierdonk";"BU07941900";"2465";"1000";"1460";"2015";"450";"1.4";"1714";"110";"220"
"Scheepstal";"BU07941909";"35";"5";"30";"20";"20";".";".";"40";"10"
"Wijk 21 Brandevoort";"WK079421";"4105";"1615";"2490";"3335";"770";"1.3";"826";"220";"255"
"Brand";"BU07942100";"525";"200";"320";"420";"100";"1.3";"849";"25";"35"
"De Veste";"BU07942101";"1120";"445";"675";"910";"210";"1.1";"2757";"35";"55"
"Schutsboom";"BU07942102";"1620";"670";"950";"1310";"310";"1.4";"2043";"80";"105"
"Stepekolk";"BU07942103";"790";"280";"515";"655";"140";"1.3";"830";"65";"60"
"Berenbroek";"BU07942104";"45";"20";"25";"35";"10";".";".";"10";"0"
"De marke";"BU07942105";"5";"0";"5";"5";"0";".";".";"5";"0"
"Wijk 29 Industriegebied Zuid";"WK079429";"1000";"680";"320";"565";"435";".";".";"990";"35"
"Hoogeind";"BU07942901";"910";"605";"310";"535";"380";".";".";"845";"35"
"B.Z.O.B.";"BU07942902";"85";"75";"10";"30";"55";".";".";"145";"0"
"'s-Hertogenbosch";"GM0796";"74060";"26880";"47180";"56155";"17905";"1.1";"670";"8280";"4605"
"Wijk 01 Binnenstad";"WK079601";"5055";"1660";"3390";"3810";"1240";"0.6";"2361";"465";"350"
"Binnenstad-Centrum";"BU07960101";"2475";"915";"1560";"1850";"625";"0.6";"3472";"270";"170"
"Binnenstad-Oost";"BU07960102";"750";"220";"530";"540";"210";"0.6";"2618";"75";"50"
"De Hofstad";"BU07960103";"445";"95";"355";"375";"70";"0.7";"5571";"25";"45"
"Binnenstad-Noord";"BU07960104";"260";"85";"175";"215";"45";"0.4";"2606";"10";"20"
"Het Zand";"BU07960105";"885";"240";"645";"685";"200";"0.6";"1563";"75";"55"
"Vughterpoort";"BU07960106";"235";"105";"130";"145";"90";"1.7";"597";"10";"10"
"Wijk 02 Zuidoost";"WK079602";"5520";"1695";"3830";"4385";"1140";"0.9";"579";"810";"255"
"Het Bossche Broek";"BU07960201";"0";"0";"0";"0";"0";".";".";"0";"0"
"Zuid";"BU07960202";"1790";"560";"1230";"1480";"305";"0.9";"1389";"55";"60"
"Bazeldonk";"BU07960203";"670";"135";"530";"580";"90";"0.7";"2693";"40";"30"
"Bedrijventerrein-Zuid";"BU07960204";"5";"5";"0";"5";"0";".";".";"10";"0"
"De Gestelse Buurt";"BU07960205";"455";"95";"360";"370";"85";"0.8";"2793";"45";"25"
"Pettelaarpark";"BU07960206";"70";"65";"5";"15";"55";".";".";"240";"0"
"De Meerendonk";"BU07960207";"120";"35";"90";"95";"25";"1.1";"170";"10";"5"
"Eikendonk en Kloosterstraat";"BU07960208";"5";"5";"5";"5";"5";".";".";"5";"0"
"De Bossche Pad";"BU07960209";"190";"35";"155";"155";"35";"0.6";"2820";"15";"10"
"Grevelingen";"BU07960210";"185";"35";"150";"170";"15";"0.5";"1940";"5";"5"
"Aawijk-Zuid";"BU07960211";"1785";"520";"1265";"1440";"345";"0.9";"1624";"175";"125"
"Bedrijvenpark De Brand";"BU07960212";"250";"210";"35";"75";"170";".";".";"210";"0"
"Wijk 03 Graafsepoort";"WK079603";"5980";"1655";"4320";"4955";"1025";"0.9";"2140";"500";"405"
"De Hinthamerpoort";"BU07960301";"820";"195";"625";"675";"140";"0.7";"4526";"40";"50"
"Graafsebuurt-Zuid";"BU07960302";"705";"135";"570";"610";"95";"0.7";"3925";"65";"40"
"Aawijk-Noord";"BU07960303";"735";"165";"570";"625";"110";"0.8";"2723";"60";"35"
"Graafsebuurt-Noord";"BU07960304";"810";"250";"565";"650";"160";"0.9";"1050";"75";"60"
"Hintham-Zuid";"BU07960305";"1835";"520";"1315";"1555";"280";"1.0";"2501";"120";"145"
"Hintham-Noord";"BU07960306";"1075";"395";"680";"840";"230";"1.1";"1635";"140";"75"
"Wijk 04 Muntel en Vliert";"WK079604";"3070";"865";"2205";"2200";"865";"0.8";"2958";"300";"170"
"De Muntel";"BU07960401";"1135";"245";"890";"935";"200";"0.6";"4275";"70";"75"
"De Vliert";"BU07960402";"1330";"295";"1035";"1040";"290";"0.8";"2262";"45";"60"
"Orthenpoort";"BU07960403";"600";"325";"280";"225";"375";"2.0";"3283";"180";"35"
"Wijk 05 Rosmalen-Zuid";"WK079605";"4530";"1475";"3055";"3620";"910";"1.3";"437";"325";"335"
"Maliskamp-West";"BU07960501";"15";"0";"10";"10";"0";".";".";"5";"0"
"Maliskamp-Oost";"BU07960502";"600";"200";"400";"465";"135";"1.4";"751";"40";"45"
"Het Vinkel";"BU07960503";"70";"20";"50";"45";"30";".";".";"15";"5"
"Binckhorst";"BU07960504";"110";"25";"85";"90";"20";"0.9";"44";"5";"10"
"Sparrenburg";"BU07960505";"1730";"490";"1240";"1415";"320";"1.2";"2561";"80";"140"
"Molenhoek";"BU07960506";"1975";"735";"1240";"1570";"405";"1.3";"1434";"140";"130"
"A2 zone Rosmalen-Zuid";"BU07960507";"35";"5";"30";"30";"5";".";".";"45";"5"
"Wijk 06 Rosmalen-Noord";"WK079606";"6390";"2015";"4380";"5130";"1260";"1.2";"426";"930";"520"
"'t Ven";"BU07960601";"1090";"325";"770";"925";"170";"1.1";"2100";"105";"80"
"Rosmalen-Centrum";"BU07960602";"795";"245";"550";"670";"125";"1.1";"2012";"65";"60"
"Hondsberg";"BU07960603";"1135";"310";"825";"925";"210";"1.1";"1955";"105";"125"
"Kruisstraat";"BU07960604";"300";"70";"230";"230";"70";"1.4";"85";"95";"30"
"Bedrijventerrein Kruisstraat";"BU07960605";"205";"150";"60";"85";"125";".";".";"370";"10"
"De Overlaet-Oost";"BU07960606";"1455";"445";"1010";"1180";"275";"1.2";"2842";"55";"105"
"De Overlaet-West";"BU07960607";"1325";"455";"875";"1060";"265";"1.3";"2150";"100";"105"
"A2 zone Rosmalen Noord";"BU07960608";"25";"10";"15";"20";"5";".";".";"10";"0"
"Rosmalense Polder";"BU07960609";"55";"10";"45";"40";"15";".";".";"20";"5"
"Wijk 07 De Groote Wielen";"WK079607";"3325";"1275";"2050";"2620";"705";"1.3";"652";"125";"195"
"Brabantpoort";"BU07960701";"90";"90";"0";"40";"50";".";".";"10";"0"
"De Groote Vliet";"BU07960702";"0";"0";"0";"0";"0";".";".";"0";"0"
"Vlietdijk";"BU07960703";"150";"55";"100";"135";"15";"1.0";"463";"5";"10"
"Broekland";"BU07960704";"1390";"510";"880";"1120";"270";"1.2";"1998";"55";"75"
"De Watertuinen";"BU07960705";"620";"235";"385";"465";"155";"1.3";"2151";"20";"45"
"De Hoven";"BU07960706";"1060";"380";"675";"845";"210";"1.2";"2594";"30";"65"
"Landelijk gebied De Groote Wielen";"BU07960799";"15";"5";"10";"10";"0";".";".";"5";"0"
"Wijk 08 Empel";"WK079608";"3185";"1235";"1955";"2405";"780";"1.4";"561";"365";"235"
"Kom Empel";"BU07960801";"610";"175";"440";"510";"105";"1.2";"1245";"70";"50"
"Maasakker";"BU07960802";"1480";"685";"795";"1050";"430";"1.6";"1768";"205";"95"
"Empel-Oost";"BU07960803";"1020";"355";"665";"800";"220";"1.2";"1040";"60";"80"
"De Koornwaard";"BU07960804";"75";"20";"55";"50";"25";".";".";"30";"10"
"Wijk 09 Noord";"WK079609";"11950";"5910";"6040";"8110";"3840";"1.3";"1931";"1110";"465"
"De Buitenpepers";"BU07960901";"955";"290";"670";"800";"160";"0.8";"2175";"40";"60"
"De Herven";"BU07960902";"385";"155";"230";"310";"80";"1.4";"765";"10";"10"
"Bedrijventerrein De Herven";"BU07960903";"3970";"3915";"55";"1560";"2410";".";".";"470";"15"
"De Slagen";"BU07960904";"620";"135";"485";"525";"95";"0.8";"1861";"40";"40"
"De Haren";"BU07960905";"410";"70";"340";"355";"55";"0.8";"2185";"25";"25"
"De Reit";"BU07960906";"690";"165";"525";"565";"125";"0.9";"2337";"40";"40"
"De Donk";"BU07960907";"870";"225";"645";"735";"130";"1.0";"1501";"55";"55"
"De Rompert";"BU07960908";"1110";"370";"745";"900";"210";"1.0";"2070";"75";"75"
"De Hambaken";"BU07960909";"530";"100";"430";"440";"90";"0.9";"2604";"35";"20"
"De Sprookjesbuurt";"BU07960910";"580";"90";"490";"480";"100";"0.7";"2391";"35";"15"
"De Muziekinstrumentenbuurt";"BU07960911";"450";"75";"375";"340";"115";"0.9";"2105";"50";"20"
"De Edelstenenbuurt";"BU07960912";"425";"80";"345";"310";"115";"0.9";"1718";"45";"20"
"Orthen";"BU07960913";"655";"175";"485";"560";"95";"0.9";"1338";"50";"40"
"Orthen-West";"BU07960914";"270";"55";"215";"215";"55";"0.7";"813";"110";"25"
"Bedrijventerrein-Noord";"BU07960915";"30";"20";"5";"10";"15";".";".";"30";"0"
"Wijk 10 Maaspoort";"WK079610";"8205";"2875";"5330";"6645";"1560";"1.1";"1590";"480";"595"
"De Italiaanse buurt";"BU07961001";"285";"120";"165";"235";"50";"1.1";"688";"10";"25"
"Maasdal";"BU07961002";"1105";"325";"785";"930";"175";"0.9";"3312";"45";"70"
"Abdijenbuurt";"BU07961003";"550";"195";"360";"440";"110";"1.1";"884";"25";"35"
"Lokeren";"BU07961004";"695";"190";"500";"565";"130";"1.1";"3415";"50";"55"
"Maasstroom";"BU07961005";"940";"255";"685";"805";"135";"1.1";"3100";"35";"90"
"De Staatsliedenbuurt";"BU07961006";"885";"295";"590";"720";"165";"1.1";"3314";"35";"70"
"Het Zilverpark";"BU07961007";"1100";"385";"715";"900";"200";"1.3";"3167";"45";"75"
"Maasvallei";"BU07961008";"1025";"385";"640";"825";"200";"1.2";"2945";"55";"70"
"Maasoever";"BU07961009";"1475";"655";"825";"1155";"320";"1.3";"2830";"40";"105"
"Bedrijventerrein Maaspoort";"BU07961010";"90";"55";"35";"40";"55";".";".";"130";"0"
"Oud Empel";"BU07961011";"50";"15";"35";"35";"15";".";".";"5";"5"
"Wijk 11 West";"WK079611";"8375";"2300";"6075";"6665";"1710";"0.8";"840";"965";"470"
"Boschveld";"BU07961101";"1055";"210";"845";"850";"205";"0.6";"2226";"65";"65"
"Paleiskwartier";"BU07961102";"1215";"490";"725";"950";"265";"0.7";"2754";"35";"70"
"Willemspoort";"BU07961103";"20";"10";"10";"10";"5";".";".";"10";"0"
"Deuteren";"BU07961104";"595";"165";"435";"485";"110";"0.8";"2185";"35";"55"
"De Moerputten";"BU07961105";"120";"60";"60";"80";"40";"1.1";"49";"25";"5"
"De Schutskamp";"BU07961106";"1625";"375";"1250";"1330";"295";"0.7";"1515";"105";"75"
"De Kruiskamp";"BU07961107";"3260";"760";"2500";"2650";"610";"0.9";"2661";"220";"165"
"De Rietvelden-Oost";"BU07961108";"110";"50";"60";"75";"35";"1.4";"141";"90";"10"
"De Rietvelden-West";"BU07961109";"170";"105";"65";"90";"85";".";".";"280";"5"
"Veemarktkwartier";"BU07961110";"40";"30";"10";"15";"25";".";".";"15";"0"
"Ertveld";"BU07961111";"165";"45";"120";"130";"35";"1.0";"146";"85";"15"
"Wijk 12 Engelen";"WK079612";"2945";"1150";"1795";"2200";"745";"1.3";"258";"370";"210"
"Kom Engelen";"BU07961201";"1450";"510";"940";"1130";"320";"1.3";"1217";"120";"120"
"De Vutter";"BU07961202";"110";"55";"55";"60";"50";".";".";"180";"5"
"Henriëttewaard";"BU07961203";"50";"10";"40";"35";"10";".";".";"10";"5"
"De Haverleij";"BU07961204";"1160";"525";"635";"845";"315";"1.3";"704";"30";"65"
"Bokhoven";"BU07961205";"170";"50";"120";"120";"50";"1.5";"60";"25";"15"
"Engelermeer";"BU07961206";"10";"0";"5";"5";"5";".";".";"5";"0"
"Wijk 13 Nuland";"WK079613";"2240";"615";"1625";"1775";"465";"1.4";"180";"445";"255"
"Kom Nuland";"BU07961301";"1700";"425";"1275";"1380";"320";"1.3";"1067";"220";"185"
"Bedrijventerrein Nuland";"BU07961302";"85";"30";"55";"55";"30";".";".";"60";"10"
"De Lage Kant";"BU07961303";"110";"30";"75";"75";"30";"1.4";"70";"40";"20"
"Heeseind";"BU07961304";"235";"70";"165";"180";"55";"1.5";"66";"95";"30"
"Landelijk gebied Nuland";"BU07961399";"110";"60";"50";"80";"30";".";".";"35";"5"
"Wijk 14 Vinkel";"WK079614";"1405";"345";"1060";"1045";"360";"1.4";"102";"430";"145"
"Kom Vinkel";"BU07961401";"655";"175";"480";"550";"100";"1.5";"688";"145";"70"
"Vinkeloord";"BU07961402";"265";"40";"225";"195";"70";"1.1";"155";"55";"30"
"Landelijk gebied Vinkel";"BU07961499";"490";"130";"360";"300";"190";"1.6";"44";"230";"45"
"Heusden";"GM0797";"22425";"6640";"15785";"17665";"4765";"1.2";"284";"2745";"1875"
"Wijk 01 Drunen";"WK079701";"9240";"2730";"6510";"7490";"1750";"1.2";"358";"745";"795"
"Braken-West";"BU07970101";"1355";"315";"1040";"1115";"240";"1.1";"1990";"100";"135"
"Braken-Oost";"BU07970102";"1505";"470";"1035";"1155";"355";"1.3";"635";"265";"135"
"Centrum Drunen";"BU07970103";"345";"135";"210";"300";"45";"1.0";"2273";"30";"15"
"Venne-West";"BU07970104";"2940";"995";"1950";"2390";"550";"1.2";"817";"110";"245"
"Venne-Oost";"BU07970105";"3095";"820";"2275";"2530";"560";"1.2";"163";"240";"265"
"Wijk 02 Elshout";"WK079702";"950";"285";"665";"715";"235";"1.5";"128";"325";"155"
"Elshout";"BU07970200";"950";"285";"665";"715";"235";"1.5";"128";"325";"155"
"Wijk 03 Haarsteeg";"WK079703";"1205";"395";"815";"900";"305";"1.6";"143";"245";"85"
"Haarsteeg";"BU07970300";"1205";"395";"815";"900";"305";"1.6";"143";"245";"85"
"Wijk 04 Nieuwkuijk";"WK079704";"1220";"410";"805";"900";"320";"1.4";"363";"440";"105"
"Nieuwkuijk";"BU07970400";"1220";"410";"805";"900";"320";"1.4";"363";"440";"105"
"Wijk 05 Vlijmen";"WK079705";"6935";"2005";"4930";"5525";"1410";"1.2";"511";"580";"530"
"Vijfhoeven";"BU07970501";"2680";"835";"1845";"2140";"540";"1.2";"856";"155";"190"
"Vlijmen-Dorp";"BU07970502";"2065";"665";"1395";"1675";"390";"1.2";"792";"185";"150"
"Vliedberg";"BU07970503";"2195";"505";"1690";"1710";"480";"1.1";"279";"245";"190"
"Wijk 06 Doeveren";"WK079706";"40";"5";"35";"30";"10";".";".";"10";"0"
"Doeveren";"BU07970600";"40";"5";"35";"30";"10";".";".";"10";"0"
"Wijk 07 Hedikthuizen";"WK079707";"180";"55";"125";"120";"60";"1.8";"31";"30";"15"
"Hedikhuizen";"BU07970700";"180";"55";"125";"120";"60";"1.8";"31";"30";"15"
