"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Zuid";"BU06270404";"3300";"1950";"3250";"3350";"4100";"4050";"2600";"3950"
"Coenecoop";"BU06270405";"4500";".";".";".";".";".";".";"4450"
"'t Weegje";"BU06270406";"4450";".";".";".";".";".";".";"."
"Oost";"BU06270407";"4250";".";".";".";"3050";"4650";".";"4300"
"Zeeheldenbuurt";"BU06270408";"3350";"3050";"3350";"2650";"3350";"4350";"2750";"4000"
"Wassenaar";"GM0629";"3550";"2250";"3300";"3600";"4800";"5850";"2800";"4050"
"Wijk 00 Zuidwestelijk deel der gemeente";"WK062900";"4600";"2800";"3500";"3900";"5200";"6200";"3600";"5100"
"Drie Papegaaien";"BU06290000";"4800";"2850";"5100";"4850";"5350";"6050";"4100";"5200"
"Oud-Wassenaar";"BU06290001";"3900";"3050";"3550";".";"4350";"6250";"2950";"5050"
"Nieuw-Wassenaar";"BU06290002";"4800";"2350";"4950";"4950";"5400";"6700";"4450";"4700"
"Duindigt met Groenendaal";"BU06290003";"4250";".";"2700";"4050";"4850";"4750";"3650";"4350"
"Oud-Clingendaal";"BU06290004";"5100";".";"3950";"3850";"5000";"5850";"4650";"5150"
"De Kieviet";"BU06290005";"6300";".";".";".";"5450";"6550";"5900";"6300"
"Kerkehout";"BU06290006";"3000";"2850";"3000";"3100";"2950";"4250";"2750";"3600"
"Klingenbosch";"BU06290007";"5450";".";".";"4050";"5050";"5950";"5650";"5250"
"Verspreide huizen Eikenhorst";"BU06290008";"3200";".";".";".";".";".";".";"."
"Verspreide huizen Meijendel";"BU06290009";".";".";".";".";".";".";".";"."
"Wijk 01 Noordoostelijk deel der gemeente";"WK062901";"3200";"2100";"3250";"3550";"4450";"5300";"2650";"3700"
"De Paauw";"BU06290100";"4750";".";"4300";"4550";"4950";"6000";"4950";"4950"
"Dorp Wassenaar";"BU06290101";"2950";"2250";"3350";"3400";"3500";"3950";"2550";"3400"
"Oostdorp";"BU06290102";"2750";"2150";"2550";"2750";"3850";"4200";"2350";"3600"
"Zijlwatering en haven";"BU06290103";"2700";"2150";"3150";"3150";"4400";".";"2500";"3200"
"De Deijl";"BU06290104";"3700";"1900";"3800";"4500";"4450";"5700";"2850";"4100"
"Groot Deijleroord en Ter Weer";"BU06290105";"3100";"2000";"3400";"3650";"4150";"5300";"2650";"3450"
"Rijksdorp met De Pan";"BU06290106";"5650";".";"4950";".";"5950";"5850";"6050";"5650"
"Maaldrift";"BU06290107";"4150";".";".";".";"3650";"4850";"2650";"4400"
"Verspr.h. Raaphorst en in poldergebied";"BU06290108";"4200";"3350";"2350";"2850";"4300";"5350";"4200";"4100"
"Verspr.h. Duinrell Wassenaarse Slag";"BU06290109";"4550";".";"4000";"5300";"4900";"5550";"5200";"4300"
"Weteringpark";"BU06290110";"3100";"1950";"3150";"3850";"4200";"4950";"2600";"3600"
"Woerden";"GM0632";"3150";"2050";"3300";"3400";"3950";"4900";"2250";"3650"
"Wijk 01 Woerden-Midden";"WK063201";"2750";"2050";"3000";"3150";"3650";"4700";"2200";"3300"
"Binnenstad";"BU06320101";"2650";"2350";"2950";"2900";"3650";"5850";"2150";"3150"
"Bloemen- en Bomenkwartier";"BU06320102";"2700";"1700";"2800";"3000";"3150";"3900";"2050";"3100"
"Bedrijventerrein Honthorst";"BU06320103";"4250";"4950";"2800";"2650";"4200";"3600";"2450";"3900"
"Staatsliedenkwartier";"BU06320104";"3100";"1850";"3300";"3400";"4000";"5100";"2300";"3650"
"Vogelkwartier";"BU06320105";"2850";"1950";"3200";"3300";"3800";"5200";"1750";"3200"
"Schilderskwartier";"BU06320106";"2700";"2100";"2950";"3100";"3550";"4350";"2250";"3250"
"Wijk 02 Woerden-West";"WK063202";"3150";"1900";"3500";"3600";"4650";"5000";"2200";"3750"
"Bedrijventerrein Barwoutsw";"BU06320201";"4150";".";"2200";"2850";"4700";"5050";"1950";"4500"
"Molenvliet-West";"BU06320202";"3000";"1700";"3400";"3400";"4350";"5300";"2050";"3600"
"Molenvliet-Oost";"BU06320203";"3350";"2250";"3700";"3850";"5200";"5000";"2500";"3900"
"Kromwijk";"BU06320204";"3850";".";".";".";".";"3700";".";"4100"
"Wijk 03 Woerden-Oost";"WK063203";"3450";"2200";"3550";"3800";"4400";"5250";"2450";"3600"
"Middelland-Noord";"BU06320301";".";".";".";".";".";".";".";"."
"Middelland-Zuid";"BU06320302";".";".";".";".";".";".";".";"."
"Snel en Polanen";"BU06320303";"3400";"2150";"3450";"3800";"4250";"4850";"2450";"3600"
"Bedrijventerrein Pollanen";"BU06320304";"5850";".";".";".";".";"6100";".";"6500"
"Waterrijk";"BU06320305";"3550";"2250";"3750";"3850";"5300";"5700";"2150";"3600"
"Wijk 04 Buitengebied Woerden-West";"WK063204";"4100";"1850";"3250";"2600";"4250";"4900";"3400";"4050"
"Rietveld";"BU06320401";"4100";"1850";"3200";".";"4250";"5150";"3550";"4050"
"Barwoutswaarder";"BU06320402";"4050";".";".";".";".";"4250";".";"4200"
"Wijk 05 Buitengebied Woerden-Oost";"WK063205";"4650";".";"4200";".";"3800";"5100";"3700";"4700"
"Geestdorp";"BU06320501";"4350";".";".";".";"3450";"5100";".";"4350"
"Breeveld";"BU06320502";"4750";".";".";".";".";"5150";".";"4850"
"Cattenbroek";"BU06320503";"4900";".";".";".";".";"5150";".";"5150"
"Wijk 06 Harmelen";"WK063206";"3600";"2000";"3400";"3800";"4050";"5050";"2550";"3950"
"Harmelen-Noord (dorp)";"BU06320601";"3200";"1600";"3200";"3600";"4000";"4800";"2300";"4000"
"Harmelen-Zuid (dorp)";"BU06320602";"3600";"2400";"3500";"3850";"3950";"5500";"2600";"3800"
"Putkop";"BU06320603";"4400";".";"2000";"4600";"4000";"4950";"4600";"4250"
"Buitengebied Harmelen";"BU06320604";"5000";".";".";".";"4450";"5200";"4700";"5050"
"Reijerscop";"BU06320605";"4400";".";".";".";".";"4650";".";"4550"
"Gerverscop";"BU06320606";"4950";".";".";".";"4500";"5100";".";"4950"
"Wijk 07 Kamerik";"WK063207";"3400";"1800";"3300";"3150";"3550";"4650";"2250";"3950"
"Kamerik (dorp)";"BU06320701";"3100";"1800";"3300";"3100";"3450";"4050";"2150";"3650"
"Kanis";"BU06320702";"3200";"1700";"3250";"3200";"3350";"4000";"2500";"3750"
"Buitengebied Kamerik";"BU06320703";"4900";".";"4350";".";"4400";"5150";"3050";"5300"
"Wijk 08 Zegveld";"WK063208";"3500";"2100";"3300";"3100";"3850";"4400";"2550";"3800"
"Zegveld (dorp)";"BU06320801";"3250";"2050";"3300";"3100";"3550";"4100";"2400";"3600"
"Buitengebied Zegveld";"BU06320802";"4550";".";".";".";"4600";"4600";"4150";"4600"
"Zoetermeer";"GM0637";"3100";"2350";"3550";"3700";"4400";"4850";"2600";"3550"
"Wijk 00 Centrum";"WK063700";"2500";"2250";"3100";"3150";"3500";"4500";"2250";"2900"
"Dorp";"BU06370001";"2650";"2100";"2850";"3000";"3450";"4500";"2300";"2850"
"Stadscentrum";"BU06370002";"2250";"2050";"3350";"3150";".";".";"2100";"2850"
"Palenstein";"BU06370003";"2400";"2150";"3100";"3150";"3650";"4050";"2250";"2850"
"Driemanspolder";"BU06370004";"2650";"2500";"3350";"3550";"4050";"4500";"2350";"3050"
"Wijk 01 Meerzicht";"WK063701";"3050";"2850";"3300";"3500";"3800";"4550";"2850";"3350"
"Meerzicht-West";"BU06370100";"3150";"2850";"3250";"3450";"4050";"4600";"2800";"3500"
"Meerzicht-Oost";"BU06370101";"2950";"2850";"3450";"3600";"3100";"4450";"2900";"3100"
"Wijk 02 Buytenwegh - De Leyens";"WK063702";"3050";"2350";"3450";"3550";"4250";"4500";"2750";"3500"
"Buytenwegh";"BU06370200";"2850";"2350";"3250";"3400";"4500";"4600";"2650";"3200"
"De Leyens";"BU06370201";"3350";"2300";"3600";"3700";"4200";"4350";"2900";"3650"
"Wijk 03 Seghwaert";"WK063703";"3100";"2250";"3450";"3500";"3950";"4300";"2650";"3500"
"Seghwaert-Zuidwest";"BU06370300";"3050";"2250";"3450";"3450";"3850";"4300";"2500";"3550"
"Seghwaert-Noordoost";"BU06370301";"3150";"2200";"3500";"3600";"4050";"4300";"2750";"3500"
"Wijk 04 Noordhove";"WK063704";"3450";"2250";"3550";"3850";"5300";"5150";"2650";"3950"
"Noordhove-West";"BU06370400";"3300";"1950";"3400";"3300";"6250";"5700";"2450";"3950"
"Noordhove-Oost";"BU06370401";"3600";"2450";"3650";"4150";"4950";"3950";"2850";"3900"
"Wijk 05 Rokkeveen";"WK063705";"3400";"2050";"3700";"3950";"5250";"4900";"2450";"3900"
"Rokkeveen-West";"BU06370500";"3350";"2150";"3850";"4300";"5350";"5300";"2300";"4050"
"Rokkeveen-Oost";"BU06370501";"3450";"1850";"3600";"3750";"5200";"4600";"2550";"3850"
"Wijk 06 Oosterheem";"WK063706";"3550";"2350";"3900";"4150";"4750";"5150";"3100";"3850"
"Oosterheem-Zuidwest";"BU06370600";"3650";"2200";"3800";"4050";"4700";"4450";"3750";"3600"
"Oosterheem-Noordoost";"BU06370601";"3550";"2400";"3950";"4200";"4800";"5450";"3000";"3950"
"Wijk 08 Industriegebied";"WK063708";"3400";"2650";"3650";"3400";"3650";"3550";"2800";"3550"
"Rokkehage";"BU06370800";"3150";".";"3200";"2650";"3300";".";"2800";"3250"
"Lansinghage";"BU06370801";"3300";"2450";"3600";"4350";".";".";"2300";"3450"
"Zoeterhage";"BU06370802";"4750";".";".";".";".";"3800";".";"4350"
"Hoornerhage";"BU06370803";"3700";".";"4900";"3050";"3700";"3500";"2950";"3800"
"Wijk 09 Buitengebied";"WK063709";"4850";".";".";"4000";"4700";"5250";"4350";"5000"
"Balijbos";"BU06370902";".";".";".";".";".";".";".";"."
"Westerpark en omgeving";"BU06370903";"5050";".";".";".";".";"4850";".";"5000"
"Buitengebied-West";"BU06370904";"4650";".";".";"3750";"4350";"6300";".";"4700"
"Meerpolder";"BU06370905";"5150";".";".";".";".";"5100";".";"5150"
"Scheidingszone";"BU06370906";".";".";".";".";".";".";".";"."
"Van Tuyllpark";"BU06370907";".";".";".";".";".";".";".";"."
"Zoeterwoude";"GM0638";"3300";"2300";"3400";"3450";"3650";"4200";"2500";"3600"
"Wijk 00 Zoeterwoude";"WK063800";"3250";"2400";"3400";"3350";"3500";"4300";"2500";"3550"
"Zoeterwoude-Dorp";"BU06380000";"3150";"2400";"3400";"3300";"3550";"4150";"2450";"3450"
"Westeinde";"BU06380001";"3950";".";".";".";"3450";"4300";".";"3950"
"Zuidbuurt";"BU06380002";"3500";".";"3250";"3650";"3150";"4450";"2850";"3650"
"Weipoort";"BU06380003";"4400";".";"4800";"4050";"3700";"4750";"3000";"4500"
"Gelderswoude";"BU06380004";"4050";".";".";".";".";"4100";".";"3850"
"Verspreide huizen";"BU06380009";"4150";".";".";".";"4150";"4250";".";"4250"
"Wijk 01 Hoge Rijndijk";"WK063801";"3350";"1900";"3400";"3500";"3900";"3850";"2600";"3650"
"Hoge Rijndijk";"BU06380100";"3350";"1900";"3400";"3500";"3900";"3850";"2600";"3650"
"Zwijndrecht";"GM0642";"2950";"2250";"3200";"3350";"3950";"4800";"2300";"3450"
"Wijk 01 Walburg";"WK064201";"2850";"2350";"3350";"3550";"4350";"4400";"2300";"3550"
"Slagveld en Omgeving";"BU06420101";"2800";"2450";"3050";"2950";".";".";"2100";"3150"
"Veerplein - Oostkeetshaven";"BU06420102";"3950";"2800";"4250";"4600";".";".";"3100";"4100"
"Drinkwaterbedrijf";"BU06420103";".";".";".";".";".";".";".";"."
"Balkengat";"BU06420104";"4850";"5600";"4750";"4550";"5550";".";"5150";"4850"
"Noordpark";"BU06420105";".";".";".";".";".";".";".";"."
"Industriegebied Ringdijk";"BU06420106";".";".";".";".";".";".";".";"."
"Staatsliedenbuurt-Noord";"BU06420107";"3100";"2200";"3150";"3250";".";".";"2300";"3650"
"Europesebuurt";"BU06420108";"3100";"2300";"3550";"3950";"4300";"4600";"2350";"3650"
"Staatsliedenbuurt-Zuid";"BU06420109";"2800";"2350";"3100";"3400";".";".";"2300";"3600"
"Oud- en Gerbrandyplein";"BU06420110";"2850";"2850";".";".";".";".";"2850";"."
"Winkelcentrum Walburg";"BU06420111";"1750";"1650";".";".";".";".";"1550";"2050"
"De Were en omgeving";"BU06420112";"2750";"2400";"3050";"3300";"4650";".";"2350";"3250"
"Lievershil en omgeving";"BU06420113";"3900";".";"3750";"4150";".";".";".";"3900"
"Eem- en Zonnestein";"BU06420114";"2200";"2200";".";".";".";".";"2150";"2700"
"Swanendrif-Zuid";"BU06420115";"3150";"1200";"3750";"4200";"3950";"4150";"1550";"4050"
"Wijk 02 Centrum";"WK064202";"2800";"2150";"3100";"3100";"3450";"4700";"2250";"3250"
"Veerplein - De Werf";"BU06420201";"2300";"2300";".";".";".";".";"1650";"2600"
"Euryza";"BU06420202";".";".";".";".";".";".";".";"."
"Westkeetshaven";"BU06420203";"3500";"3250";"3800";"4050";".";".";"2900";"3600"
"Brugweg";"BU06420204";".";".";".";".";".";".";".";"."
"Corridor-Oost";"BU06420205";"2950";"2400";"3000";"3050";"3000";".";"2850";"3400"
"Voormalig veilingterrein";"BU06420206";"2050";"1650";"3250";"3050";"2200";".";"1950";"2700"
"Burgemeester Doornplein en omgeving";"BU06420207";"3150";".";"3000";"2850";"4200";"6250";"2400";"3450"
"Prins Bernhardstraat en omgeving";"BU06420208";"3200";"2150";"3150";"3300";"3300";"4650";"2950";"3200"
"Juliandorp";"BU06420209";"3000";"2500";"2800";"3000";"3650";"4500";"2550";"3450"
"Wijk 03 Noord";"WK064203";"2550";"2000";"2850";"3300";"3600";"4050";"2000";"3100"
"Industriegebied Develpoort";"BU06420301";"3600";".";".";".";".";".";".";"3600"
"Corridor-West";"BU06420302";"2850";"2300";"3250";"3450";"3100";"4250";"2600";"2900"
"Schildersbuurt";"BU06420303";"2300";"1700";"2600";"2750";"4150";".";"1900";"3000"
"Sterrenbeeldenbuurt";"BU06420304";"2450";"2200";"2600";"2850";".";".";"2250";"3100"
"Planetenbuurt";"BU06420305";"2200";"2100";"2950";"3900";".";".";"1900";"3100"
"Begraafplaats Noord";"BU06420306";".";".";".";".";".";".";".";"."
"Officiervliet-Oost";"BU06420307";"3550";".";"3150";"3950";"3650";"4100";"2500";"3600"
"Officiervliet-West";"BU06420308";"3700";".";"3450";"3750";"3900";"3750";"3200";"3750"
"Ter Steeghe";"BU06420309";".";".";".";".";".";".";".";"."
"Pilotenbuurt";"BU06420310";"2550";"2000";"2900";"3350";"3900";"4450";"1900";"2800"
"Langeraarstraat en omgeving";"BU06420311";"2200";"2050";"3350";"3350";".";".";"2050";"3350"
"Hoveniersplein - Griend";"BU06420312";"2700";"1550";"3200";"3450";"2900";".";"1950";"2750"
"Prinsessenbuurt";"BU06420313";"2800";"1700";"2900";"3450";"3400";"3100";"1600";"3300"
"Wijk 04 Heer Oudelands Ambacht";"WK064204";"3550";"1700";"3600";"3800";"4500";"5600";"2400";"3850"
"De Hoge Devel";"BU06420401";".";".";".";".";".";".";".";"."
"Componistenbuurt-Zuid";"BU06420402";"3050";"1550";"3300";"3350";".";"4400";"2200";"3550"
"Componistenbuurt-Midden";"BU06420403";"3300";"1700";"3550";"3550";".";".";"2200";"3650"
"Componistenbuurt-Noord";"BU06420404";"3450";"1450";"3450";"3650";"3400";"4350";"2900";"3700"
"Oudeland en Meubelmaker";"BU06420405";"3050";"1650";"3650";"4450";".";".";"1400";"3550"
"Klarinetsingel en omgeving";"BU06420406";"4050";".";"3900";"4400";"4500";"5250";"3150";"4200"
"Sonate en omgeving";"BU06420407";"4100";".";"4000";"4000";"4650";".";".";"4100"
"De As";"BU06420408";"4250";"2200";"4050";"4300";"4900";"6500";"2650";"4450"
"Park Molenvliet";"BU06420409";".";".";".";".";".";".";".";"."
"Industriegebied Molenvliet";"BU06420410";".";".";".";".";".";".";".";"."
"Wijk 05 Kort Ambacht";"WK064205";"2800";"2500";"2950";"3050";"3750";"4700";"2500";"3000"
"Noordzijde De Hoge Devel";"BU06420501";".";".";".";".";".";".";".";"."
"Develsteincollege";"BU06420502";".";".";".";".";".";".";".";"."
"Swinhove - De Lus";"BU06420503";"1700";"1650";"1950";"1850";".";".";"1750";"1500"
"Koloniënbuurt";"BU06420504";"2650";"2550";"2750";"2350";".";".";"2550";"3000"
"Meerdervoort";"BU06420505";"2650";".";"2700";"2600";".";".";"2650";"."
"Dichtersbuurt-Midden";"BU06420506";"2950";"2350";"3150";"2900";".";".";"2600";"3200"
"Dichtersbuurt-West";"BU06420507";"2800";"2250";"3300";"3750";".";".";"2750";"2850"
"Verzetsheldenbuurt";"BU06420508";"2850";"2350";"2900";"3200";"3800";".";"2400";"3100"
"Kapiteinflats";"BU06420509";"3000";"3000";".";".";".";".";"3000";"."
"Zeeheldenbuurt";"BU06420510";"2900";"2250";"3100";"3250";".";".";"2200";"3000"
"Bloemenbuurt M(adelief) - Z(onnenbloem)";"BU06420511";"2800";"2700";"3450";"3850";".";".";"2350";"3000"
"Bloemenbuurt D(ahlia) - G(eranium)";"BU06420512";"2700";"2050";"3100";"3400";".";".";"2050";"2800"
"Bloemenbuurt B(egonia) - C(rocus)";"BU06420513";"2650";"2650";".";".";".";".";"1700";"2800"
"Bloemenbuurt H(yacinth) - L(Obelia)";"BU06420514";"3000";"2050";"2900";"3450";"3900";".";"2050";"3450"
"Bloemenbuurt A(kelei)";"BU06420515";"4950";".";".";".";".";"4950";".";"5000"
"Wijk 06 Nederhoven";"WK064206";"3000";"2150";"3250";"3350";"4200";"5650";"2350";"3700"
"IJsvogelplein";"BU06420601";"1800";"1800";".";".";".";".";"1800";"."
"Vogelbuurt-Oost";"BU06420602";"3300";".";"3200";"3500";".";".";"2900";"3850"
"Ooievaar- en Vinkplein";"BU06420603";"2500";"2500";".";".";".";".";"2500";"."
"Vogelbuurt-West";"BU06420604";"2850";"2700";"2850";"2700";"4850";".";"2200";"3500"
"Leeuwerik- en Fazantplein";"BU06420605";"2250";"2250";".";".";".";".";"2250";"."
"Moermond-Zuid";"BU06420606";"3150";"1800";"3150";"3200";".";".";"2700";"3400"
"Boshuizen - Rechteren";"BU06420607";"3000";"2000";"3050";"3100";".";".";"2650";"3350"
"Assumburg - Lunenburg";"BU06420608";"3050";"1550";"3650";"3550";"4000";"5450";"1900";"3800"
"Hilverbeek en omgeving";"BU06420609";"3650";"2650";"3500";"3900";"3950";"5050";"2750";"3800"
"Develzijde Nederhoven";"BU06420610";"4950";".";"3700";".";".";"6050";".";"4800"
"Wijk 07 Verspreide bebouwing";"WK064207";"4250";".";"3200";".";"4500";"4700";"3800";"4550"
"Industriegebied Groote Lindt";"BU06420701";".";".";".";".";".";".";".";"."
"De Geer-Oost";"BU06420702";".";".";".";".";".";".";".";"."
"De Geer-West";"BU06420703";"4150";".";".";".";".";".";".";"."
"Achterlindtsestraat";"BU06420704";".";".";".";".";".";".";".";"."
"Kijfhoek";"BU06420705";"4800";".";".";".";"4150";"5200";".";"4800"
"Emplacement ""Kijfhoek""";"BU06420706";".";".";".";".";".";".";".";"."
"Groenesteeg - Langeweg";"BU06420707";"4350";".";".";".";".";"3950";".";"4450"
"Bakestein";"BU06420708";"4200";".";".";".";".";".";".";"4250"
"Wijk 08 Bebouwde kom Heerjansdam";"WK064208";"3300";"1750";"3150";"3350";"3900";"4950";"2250";"3800"
"Molenweg-West";"BU06420801";"2950";"1150";"2550";"2850";"3350";"5250";"2050";"4250"
"Dorp-Noordoost";"BU06420802";"2850";"1650";"3000";"3200";"3000";"4400";"2300";"3500"
"Dorp-Zuidoost";"BU06420803";"3400";"2450";"3100";"3350";"3900";"5150";"2550";"3600"
"Dorp-Zuid";"BU06420804";"3700";"1800";"4000";"4150";"5000";"5100";"1950";"4300"
"Bedrijventerrein Gors-Noord";"BU06420805";"3700";".";"3700";"3550";".";"3650";".";"3600"
"Wijk 09 Landelijk gebied Heerjansdam";"WK064209";"4250";".";"5000";".";"4050";"4200";"3450";"4300"
"Emplacement Kijfhoek en Langeweg";"BU06420901";"3900";".";".";".";".";".";".";"."
"Sportcomplex ""De Molenwei""";"BU06420902";"2950";".";".";".";".";"2950";".";"."
"Polder Heerjansdam";"BU06420903";"4900";".";".";".";"5600";"4500";".";"4950"
"Kleine Lindt Polder";"BU06420904";"3800";".";"4100";".";"3800";"3750";".";"3900"
"Hooge Nespolder";"BU06420905";"4250";".";".";".";"3450";"4650";".";"4300"
"Het Buitenland en omgeving";"BU06420906";".";".";".";".";".";".";".";"."
"Bedrijventerrein Gors-Zuid";"BU06420907";".";".";".";".";".";".";".";"."
"Nederlek";"GM0643";"3050";"1950";"3100";"3100";"3600";"4100";"2400";"3550"
"Wijk 00 Lekkerkerk";"WK064300";"3100";"2100";"3100";"3000";"3400";"4050";"2500";"3500"
"Tiendhoek";"BU06430000";"3300";"1600";"3250";"3250";"3900";"3950";"2450";"3700"
"Schuwacht";"BU06430001";"4000";".";".";".";"3500";"4050";"3350";"4050"
"Opperduit";"BU06430002";"4350";".";"3450";"4800";"4100";"4450";"4800";"4300"
"Tiendweg-West";"BU06430003";"4400";".";".";".";"4500";"4350";".";"4400"
"Lekkerkerk-Oost";"BU06430004";"3150";".";"3150";"3050";".";"4850";"2750";"3400"
"Prinsessenbuurt";"BU06430005";"2900";"2050";"2600";"2750";"3300";"4100";"2000";"3500"
"Koninginnenbuurt";"BU06430006";"2700";"1900";"3150";"2950";"2850";"3450";"2350";"3100"
"Wibautsraat en Lorentzweg";"BU06430007";"2500";"2150";"2650";"2500";"2400";"3650";"2250";"3050"
"Molenwerf en omstreken";"BU06430008";"2650";"1750";"3400";"3250";".";"3000";"2400";"3600"
"Voorstraat en Centrum";"BU06430009";"3100";"2600";"2950";"3050";"3650";"3750";"2600";"3250"
"Industrieterrein";"BU06430010";"3950";".";".";".";".";".";".";"."
"Versrpeide huizen Lekkerkerk";"BU06430011";"2900";"1900";".";".";".";"4500";".";"2750"
"Wijk 01 Krimpen aan de Lek";"WK064301";"3050";"1800";"3100";"3150";"3850";"4250";"2250";"3600"
"Hoofdstraat";"BU06430100";"2650";"1750";"3200";"3050";"3550";"3850";"2000";"3400"
"Binnen Krimpen";"BU06430101";"2950";"1950";"3050";"3050";"3100";"4900";"2300";"3550"
"Beroepenbuurt";"BU06430102";"2650";"1700";"2550";"2750";"3700";"3900";"2100";"3400"
"Krimpen-Oost";"BU06430103";"4250";".";"2050";"1900";"4750";"4500";"3800";"4250"
"Zaag";"BU06430104";"2200";".";".";".";".";"2000";".";"."
"Tiendweg Noord";"BU06430105";"3650";"1850";"3500";"3750";"4200";"4900";"2900";"3900"
"Krimpen Centrum";"BU06430106";"2650";"2000";"2400";"3250";"3500";"5000";"2450";"2950"
"Industrieterrein Krimpen";"BU06430107";"3250";".";".";".";"3300";"3200";"3650";"3050"
"Lekdijk";"BU06430108";"4000";".";"3050";"3200";"4050";"4300";"3100";"4150"
"Verspreide huizen Krimpen aan de Lek";"BU06430109";".";".";".";".";".";".";".";"."
"Ouderkerk";"GM0644";"3200";"1850";"3050";"3300";"3850";"4150";"2350";"3650"
"Wijk 00 Ouderkerk aan de Ijssel";"WK064400";"3250";"1900";"3050";"3300";"3800";"4200";"2350";"3650"
"Ouderkerk aan de IJssel";"BU06440000";"3150";"1900";"3100";"3400";"3850";"4300";"2200";"3550"
"Verspreide huizen in het Noorden";"BU06440008";"3450";"2000";"2900";"2850";"3600";"4100";"2700";"3750"
"Verspreide huizen in het Oosten";"BU06440009";"4700";".";".";".";".";"4350";"5050";"4650"
"Wijk 01 Gouderak";"WK064401";"3150";"1800";"3100";"3200";"3950";"4000";"2350";"3600"
"Gouderak";"BU06440100";"3150";"1800";"3100";"3200";"3950";"4000";"2350";"3600"
"Borsele";"GM0654";"3100";"1800";"2700";"2800";"3200";"3650";"2350";"3400"
"Wijk 00 Borsele-West";"WK065400";"3000";"1700";"2600";"2700";"3100";"3550";"2300";"3350"
"'s-Heerenhoek";"BU06540000";"2900";"1550";"2600";"2650";"3050";"3500";"2250";"3300"
"Borssele";"BU06540001";"3000";"1800";"2750";"2750";"3200";"3450";"2450";"3300"
"Nieuwdorp";"BU06540002";"2850";"1800";"2550";"2800";"2900";"3350";"2150";"3300"
"Lewedorp";"BU06540003";"2700";"1700";"2350";"2550";"2950";"3100";"2150";"3050"
"Havengebied Sloe";"BU06540004";".";".";".";".";".";".";".";"."
"Verspreide huizen 's-Heerenhoek";"BU06540006";"4050";".";".";".";"3550";"4150";"4500";"4000"
"Verspreide huizen Borssele";"BU06540007";"4150";".";".";".";"3900";"4150";"4050";"4150"
"Verspreide huizen Nieuwdorp";"BU06540008";"3450";".";"2250";"3600";"3300";"3700";"2550";"3550"
"Verspreide huizen Lewedorp";"BU06540009";"3750";".";".";".";"3550";"4100";"3200";"3900"
"Wijk 01 Borsele-Oost";"WK065401";"3100";"1850";"2800";"2900";"3300";"3750";"2350";"3450"
"Heinkenszand";"BU06540100";"2950";"1950";"2700";"2900";"3150";"3650";"2350";"3300"
"'s-Gravenpolder";"BU06540101";"3050";"1700";"2900";"2950";"3450";"3750";"2250";"3550"
"Nisse";"BU06540102";"3500";".";"2700";"3150";"3450";"3900";"2900";"3600"
"'s-Heer-Abtskerke";"BU06540103";"3200";".";"2700";"2000";"3550";"3550";"2500";"3400"
"Verspreide huizen Heinkenszand";"BU06540106";"3700";".";".";".";".";"3700";"3200";"3700"
"Verspreide huizen 's-Gravenpolder";"BU06540107";"3750";".";".";".";"2900";"4250";".";"3850"
"Verspreide huizen Nisse";"BU06540108";"4450";".";".";".";".";"4400";".";"4750"
"Verspreide huizen 's Heer-Abtskerke";"BU06540109";"4700";".";".";".";".";"4650";".";"4650"
"Wijk 02 Borsele-Midden en -Oost";"WK065402";"3100";"1650";"2550";"2800";"3250";"3550";"2300";"3450"
"Ovezande";"BU06540200";"2850";"1450";"2400";"2850";"3150";"3200";"2150";"3200"
"Hoedekenskerke";"BU06540201";"3050";"1500";"2800";"2800";"3150";"3450";"2250";"3350"
"Kwadendamme";"BU06540202";"2900";"2000";"2500";"2700";"3300";"3150";"2350";"3300"
"Verspreide huizen Ovezande";"BU06540207";"3850";".";".";".";"4800";"3850";"3100";"3950"
"Verspreide huizen Hoedekenskerke";"BU06540208";"4000";".";"3300";".";"3550";"4400";".";"4050"
"Verspreide huizen Kwadendamme";"BU06540209";"3750";".";".";".";"3150";"3950";"2400";"3850"
"Wijk 03 Borsele-Zuidoost";"WK065403";"3200";".";"2900";"2600";"2950";"3550";"2550";"3350"
"Baarland";"BU06540300";"3250";".";"3000";"2700";"2800";"3900";"2800";"3350"
"Oudelande";"BU06540301";"3050";".";"2800";"2750";"2850";"3400";"2700";"3150"
